Source Table,LGA,Year-Quarter,PTB Total Actual and Forecast,PTB Total Actual and Forecast  Lower  95%,PTB Total Actual and Forecast  Upper  95%,EPTB Total Actual and Forecast,EPTB Total Actual and Forecast  Lower  95%,EPTB Total Actual and Forecast  Upper  95%,lab diagnosed Actual and Forecast,lab diagnosed Actual and Forecast  Lower  95%,lab diagnosed Actual and Forecast  Upper  95%,clinically diagnosed Actual and Forecast,clinically diagnosed Actual and Forecast  Lower  95%,clinically diagnosed Actual and Forecast  Upper  95%,Total TB Cases notified Actual and Forecast,Total TB Cases notified Actual and Forecast  Lower  95%,Total TB Cases notified Actual and Forecast  Upper  95%
Original Data,Igabi,2022Q4,252,,,0,,,198,,,54,,,252,,
Original Data,Ikara,2022Q1,38,,,1,,,26,,,13,,,39,,
Original Data,Ikara,2022Q2,39,,,1,,,31,,,9,,,40,,
Original Data,Ikara,2022Q3,41,,,0,,,34,,,7,,,41,,
Original Data,Ikara,2022Q4,58,,,1,,,11,,,48,,,59,,
Original Data,Jaba,2022Q1,35,,,0,,,24,,,11,,,35,,
Original Data,Jaba,2022Q2,20,,,0,,,14,,,6,,,20,,
Original Data,Jaba,2022Q3,48,,,0,,,45,,,3,,,48,,
Original Data,Jaba,2022Q4,66,,,0,,,58,,,8,,,66,,
Original Data,Jemaa,2022Q1,129,,,0,,,100,,,29,,,129,,
Original Data,Jemaa,2022Q2,157,,,1,,,136,,,22,,,158,,
Original Data,Jemaa,2022Q3,269,,,0,,,226,,,43,,,269,,
Original Data,Jemaa,2022Q4,384,,,0,,,307,,,77,,,384,,
Original Data,Kachia,2022Q1,363,,,0,,,348,,,15,,,363,,
Original Data,Kachia,2022Q2,383,,,0,,,360,,,23,,,383,,
Original Data,Kachia,2022Q3,496,,,0,,,462,,,34,,,496,,
Original Data,Kachia,2022Q4,495,,,0,,,462,,,33,,,495,,
Original Data,Kaduna North,2022Q1,624,,,13,,,515,,,122,,,637,,
Original Data,Kaduna North,2022Q2,712,,,5,,,634,,,83,,,717,,
Original Data,Kaduna North,2022Q3,715,,,6,,,523,,,198,,,721,,
Original Data,Kaduna North,2022Q4,1010,,,6,,,754,,,262,,,1016,,
Original Data,Kaduna South,2022Q1,315,,,9,,,220,,,104,,,324,,
Original Data,Kaduna South,2022Q2,319,,,8,,,216,,,111,,,327,,
Original Data,Kaduna South,2022Q3,367,,,11,,,281,,,97,,,378,,
Original Data,Kaduna South,2022Q4,487,,,8,,,373,,,122,,,495,,
Original Data,Kagarko,2022Q1,35,,,0,,,34,,,1,,,35,,
Original Data,Kagarko,2022Q2,39,,,0,,,39,,,0,,,39,,
Original Data,Kagarko,2022Q3,73,,,0,,,73,,,0,,,73,,
Original Data,Kagarko,2022Q4,202,,,0,,,201,,,1,,,202,,
Original Data,Kajuru,2022Q1,179,,,0,,,176,,,3,,,179,,
Original Data,Kajuru,2022Q2,211,,,0,,,208,,,3,,,211,,
Original Data,Kajuru,2022Q3,253,,,0,,,250,,,3,,,253,,
Original Data,Kajuru,2022Q4,283,,,0,,,270,,,13,,,283,,
Original Data,Kaura,2022Q1,22,,,0,,,19,,,3,,,22,,
Original Data,Kaura,2022Q2,41,,,0,,,36,,,5,,,41,,
Original Data,Kaura,2022Q3,43,,,0,,,41,,,2,,,43,,
